RXCUI1,RXAUI1,STYPE1,REL,RXCUI2,RXAUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
2600272,AUI,RO,,12984983,AUI,has_inactive_ingredient,164820835,,MTHSPL,,,,,4096,
2600452,AUI,RO,,12984983,AUI,has_inactive_ingredient,164820806,,MTHSPL,,,,,4096,
2600730,AUI,RO,,12984983,AUI,has_inactive_ingredient,164820037,,MTHSPL,,,,,4096,
2978584,AUI,RO,,12984981,AUI,has_inactive_ingredient,164820833,,MTHSPL,,,,,4096,
2978584,AUI,RO,,12984982,AUI,has_inactive_ingredient,164820786,,MTHSPL,,,,,4096,
2978605,AUI,RO,,12984981,AUI,has_inactive_ingredient,164820261,,MTHSPL,,,,,4096,
2978605,AUI,RO,,12984982,AUI,has_inactive_ingredient,164820903,,MTHSPL,,,,,4096,
2978605,AUI,RO,,12984984,AUI,has_inactive_ingredient,164820707,,MTHSPL,,,,,4096,
2978605,AUI,RO,,12984985,AUI,has_inactive_ingredient,164820554,,MTHSPL,,,,,4096,
2978605,AUI,RO,,12985884,AUI,has_inactive_ingredient,164825172,,MTHSPL,,,,,4096,
2978624,AUI,RO,,12984981,AUI,has_inactive_ingredient,164820173,,MTHSPL,,,,,4096,
2978624,AUI,RO,,12984982,AUI,has_inactive_ingredient,164820243,,MTHSPL,,,,,4096,
2978624,AUI,RO,,12984984,AUI,has_inactive_ingredient,164820901,,MTHSPL,,,,,4096,
2978624,AUI,RO,,12984985,AUI,has_inactive_ingredient,164820900,,MTHSPL,,,,,4096,
2978624,AUI,RO,,12985884,AUI,has_inactive_ingredient,164825130,,MTHSPL,,,,,4096,
2978624,AUI,RO,,12987159,AUI,has_inactive_ingredient,164830971,,MTHSPL,,,,,4096,
2978624,AUI,RO,,12987160,AUI,has_inactive_ingredient,164831238,,MTHSPL,,,,,4096,
2981242,AUI,RO,,12984984,AUI,has_inactive_ingredient,164819979,,MTHSPL,,,,,4096,
2981242,AUI,RO,,12984985,AUI,has_inactive_ingredient,164820971,,MTHSPL,,,,,4096,
2994597,AUI,RO,,12984981,AUI,has_inactive_ingredient,164819701,,MTHSPL,,,,,4096,
2994597,AUI,RO,,12984982,AUI,has_inactive_ingredient,164820673,,MTHSPL,,,,,4096,
2994597,AUI,RO,,12984984,AUI,has_inactive_ingredient,164819843,,MTHSPL,,,,,4096,
2994597,AUI,RO,,12984985,AUI,has_inactive_ingredient,164820452,,MTHSPL,,,,,4096,
2994597,AUI,RO,,12985882,AUI,has_inactive_ingredient,164824930,,MTHSPL,,,,,4096,
2994597,AUI,RO,,12985884,AUI,has_inactive_ingredient,164824893,,MTHSPL,,,,,4096,
2994597,AUI,RO,,12985888,AUI,has_inactive_ingredient,164825193,,MTHSPL,,,,,4096,
