RXCUI,STR,TTY,CODE,SAB,ATV,Supplemental_Info,Text_Chunk
2641622,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,A5PTS27URJ,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2641622,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,9HA5C4XL36,MTHSPL,,,"INFLUENZA A VIRUS A/VICTORIA/4897/2022 IVR-238 (H1N1) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2708995,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED),SU,L38QVJ42SY,MTHSPL,,,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (PROPIOLACTONE INACTIVATED) (SU) - . 
2708995,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED),SU,R3KQM5Q4QF,MTHSPL,,,INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (PROPIOLACTONE INACTIVATED) (SU) - . 
2708995,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,98PQP6K6TA,MTHSPL,,,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2708995,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED)",SU,7VP5R7Z722,MTHSPL,,,"INFLUENZA A VIRUS A/Croatia/10136RV/2023 X-425A (H3N2) HEMAGGLUTININ ANTIGEN (UV, FORMALDEHYDE INACTIVATED) (SU) - . "
2717943,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED)",SU,4HH5SUR63T,MTHSPL,,,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) (SU) - . "
2717943,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) HEMAGGLUTININ ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED)",SU,9V9Y969F8M,MTHSPL,,,"INFLUENZA A VIRUS A/Victoria/800/2024 CVR-289 (H3N2) HEMAGGLUTININ ANTIGEN (MDCK CELL DERIVED, PROPIOLACTONE INACTIVATED) (SU) - . "
2717943,influenza A virus A/Victoria/800/2024 (H3N2) antigen,PIN,2717943,RXNORM,,,influenza A virus A/Victoria/800/2024 (H3N2) antigen (PIN) - . 
2717944,Sebetralstat,SU,O5ZD2TU2B7,MTHSPL,,,Sebetralstat (SU) - . 
2717944,sebetralstat,IN,2717944,RXNORM,,,sebetralstat (IN) - . 
2717945,sebetralstat 300 MG,SCDC,2717945,RXNORM,,,sebetralstat 300 MG (SCDC) - . 
2717946,sebetralstat Oral Product,SCDG,2717946,RXNORM,,,sebetralstat Oral Product (SCDG) - . 
2717947,sebetralstat Pill,SCDG,2717947,RXNORM,,,sebetralstat Pill (SCDG) - . 
2717948,sebetralstat Oral Tablet,SCDF,2717948,RXNORM,,,sebetralstat Oral Tablet (SCDF) - . 
2717949,sebetralstat 300 MG Oral Tablet,SCD,2717949,RXNORM,,,sebetralstat 300 MG Oral Tablet (SCD) - . 
2717949,sebetralstat 300 MG Oral Tablet,PSN,2717949,RXNORM,,,sebetralstat 300 MG Oral Tablet (PSN) - . 
2717950,Ekterly,BN,2717950,RXNORM,,,Ekterly (BN) - . 
2717951,sebetralstat 300 MG [Ekterly],SBDC,2717951,RXNORM,,,sebetralstat 300 MG [Ekterly] (SBDC) - . 
2717952,Ekterly Oral Product,SBDG,2717952,RXNORM,,,Ekterly Oral Product (SBDG) - . 
2717953,Ekterly Pill,SBDG,2717953,RXNORM,,,Ekterly Pill (SBDG) - . 
2717954,sebetralstat Oral Tablet [Ekterly],SBDF,2717954,RXNORM,,,sebetralstat Oral Tablet [Ekterly] (SBDF) - . 
2717955,Sebetralstat 300 mg ORAL TABLET [EKTERLY],DP,82928-300,MTHSPL,yellow,,Sebetralstat 300 mg ORAL TABLET [EKTERLY] (DP) - yellow. 
2717955,sebetralstat 300 MG Oral Tablet [Ekterly],SBD,2717955,RXNORM,yellow,,sebetralstat 300 MG Oral Tablet [Ekterly] (SBD) - yellow. 
2717955,Ekterly 300 MG Oral Tablet,SY,2717955,RXNORM,yellow,,Ekterly 300 MG Oral Tablet (SY) - yellow. 
